line_id,source_report,deal_id,customer_id,partner_customer_type,reported_rate_pct,revenue_usd
L-01,PartnerA,DEAL-01,CUST-01,new,8,50000
L-02,PartnerA,DEAL-02,CUST-02,renewal,4,30000
L-03,PartnerB,DEAL-03,CUST-03,new,6,40000
L-04,PartnerB,DEAL-04,CUST-04,new,8,20000
L-05,PartnerC,DEAL-05,CUST-05,house,0,15000
L-06,PartnerA,DEAL-06,CUST-06,new,8,60000
L-07,PartnerC,DEAL-06,CUST-06,new,8,60000
L-08,PartnerB,DEAL-07,CUST-07,renewal,6,35000
L-09,PartnerD,DEAL-08,CUST-08,renewal,4.0,22000
L-10,PartnerD,DEAL-09,CUST-09,new,8.0,48000
L-11,PartnerA,DEAL-10,CUST-10,renewal,4,27500
L-12,PartnerB,DEAL-11,CUST-11,house,0,12000
L-13,PartnerC,DEAL-12,CUST-12,new,6,31000
L-14,PartnerD,DEAL-13,CUST-13,renewal,4.0,18000
L-15,PartnerA,DEAL-14,CUST-14,new,6,55000
L-16,PartnerD,deal-14,CUST-14,new,6.0,55000
L-17,PartnerB,DEAL-15,CUST-15,renewal,5,26000
L-18,PartnerC,DEAL-16,CUST-16,renewal,4,42000
L-19,PartnerD,DEAL-17,CUST-11,house,2.0,9000
L-20,PartnerA,DEAL-18,CUST-02,renewal,4,33000
L-21,PartnerB,DEAL-19,CUST-08,renewal,4,21000
L-22,PartnerC,DEAL-20,CUST-01,new,8,47000
L-23,PartnerD,DEAL-21,CUST-13,renewal,4.0,19500
L-24,PartnerA,DEAL-22,cust-09,new,8,52000
L-25,PartnerB,DEAL-23,CUST-05,house,4,14000
L-26,PartnerC,DEAL-24,CUST-12,new,8,36000
L-27,PartnerD,DEAL-25,CUST-15,renewal,4.0,24000
L-28,PartnerD,DEAL-25,CUST-15,renewal,4.0,24000
L-29,PartnerA,DEAL-26,CUST-16,new,8,41000
L-30,PartnerB,DEAL-27,CUST-07,renewal,4,28000
L-31,PartnerC,DEAL-28,CUST-10,renewal,6,30000
L-32,PartnerD,DEAL-29,CUST-03,new,8.0,45000
L-33,PartnerA,DEAL-30,CUST-06,new,8,7500
L-34,PartnerB,DEAL-30,CUST-06,new,8,5000
L-35,PartnerC,DEAL-31,CUST-13,renewal,4,20000
