posting_id,posting_date,deal_ref,customer_id,amount_usd,memo
P-1001,2026-06-03,DEAL-001,CUST-01,"$50,000.00",June invoice
P-1002,2026-06-04,DEAL-002,CUST-17,"$30,000.00",June invoice - billed to Fenwick Optics
P-1003,2026-06-05,DEAL-003,CUST-03,"$40,000.00",June invoice
P-1004,2026-06-06,DEAL-004,CUST-04,"$20,000.00",June invoice
P-1005,2026-06-09,DEAL-006,CUST-06,"$60,000.00",June invoice
P-1006,2026-06-10,DEAL-007,CUST-07,"$35,000.00",June invoice
P-1007,2026-07-01,DEAL-008,CUST-08,"$22,000.00",July invoice
P-1008,2026-06-11,DEAL-009,CUST-09,"$48,000.00",June invoice
P-1009,2026-06-18,DEAL-009,CUST-09,"-$48,000.00",reversal of P-1008 - invoice cancelled
P-1010,2026-06-12,DEAL-010,CUST-10,"$27,400.00",June invoice net of freight credit
P-1011,2026-06-13,DEAL-012,CUST-12,"$29,800.00",June invoice
P-1012,2026-06-13,DEAL-013,CUST-13,"$18,000.00",June invoice
P-1013,2026-06-16,DEAL-014,CUST-14,"$55,000.00",June invoice
P-1014,2026-06-16,DEAL-015,CUST-15,"$26,000.00",June invoice
P-1015,2026-06-17,DEAL-016,CUST-16,"$42,000.00",June invoice
P-1016,2026-06-19,DEAL-018,CUST-02,"$20,000.00",June invoice part 1
P-1017,2026-06-24,DEAL-018,CUST-02,"$13,000.00",June invoice part 2
P-1018,2026-06-20,deal-019,CUST-08,"$21,000.00",June invoice
P-1019,2026-06-20,DEAL-020,CUST-01,"$47,000.00",June invoice
P-1019,2026-06-20,DEAL-020,CUST-01,"$47,000.00",June invoice (row repeated by export page overlap)
P-1020,2026-05-30,DEAL-021,CUST-13,"$19,500.00",May invoice
P-1021,2026-06-23,DEAL-022,CUST-09,"$52,000.00",June invoice
P-1032,2026-06-23,DEAL-022,CUST-09,"$52,000.00",June invoice
P-1022,2026-06-25,DEAL-024,CUST-14,"$36,000.00",June invoice - billed to Ironbridge Civil
P-1023,2026-06-25,DEAL-025,CUST-15,"$24,000.00",June invoice
P-1024,2026-06-26,DEAL-026,CUST-16,"$41,000.00",June invoice
P-1031,2026-07-02,DEAL-026,CUST-16,"($41,000.00)",reversal of P-1024 - credit note issued July
P-1025,2026-06-27,DEAL-027,CUST-07,"$28,000.00",June invoice
