line_id,deal_id,source_report,finding_code
L-002,DEAL-002,PartnerA,RATE_MISMATCH
L-003,DEAL-003,PartnerB,RATE_MISMATCH
L-004,DEAL-004,PartnerB,RATE_MISMATCH
L-006,DEAL-006,PartnerA,DUPLICATE_LINE
L-007,DEAL-006,PartnerC,DUPLICATE_LINE
L-009,DEAL-008,PartnerD,UNMATCHED_TO_LEDGER
L-010,DEAL-009,PartnerD,UNMATCHED_TO_LEDGER
L-013,DEAL-012,PartnerC,UNMATCHED_TO_LEDGER
L-014,DEAL-013,PartnerD,RATE_MISMATCH
L-015,DEAL-014,PartnerA,DUPLICATE_LINE
L-016,deal-014,PartnerD,DUPLICATE_LINE
L-017,DEAL-015,PartnerB,RATE_MISMATCH
L-018,DEAL-016,PartnerC,RATE_MISMATCH
L-019,DEAL-017,PartnerD,UNMATCHED_TO_LEDGER
L-023,DEAL-021,PartnerD,UNMATCHED_TO_LEDGER
L-024,DEAL-022,PartnerA,UNMATCHED_TO_LEDGER
L-025,DEAL-023,PartnerB,RATE_MISMATCH
L-027,DEAL-025,PartnerD,DUPLICATE_LINE
L-028,DEAL-025,PartnerD,DUPLICATE_LINE
L-030,DEAL-027,PartnerB,RATE_MISMATCH
L-031,DEAL-028,PartnerC,RATE_MISMATCH
L-044,DEAL-040,PartnerB,RATE_MISMATCH
L-051,DEAL-047,PartnerD,RATE_MISMATCH
L-059,DEAL-055,PartnerB,UNMATCHED_TO_LEDGER
L-067,DEAL-063,PartnerC,UNMATCHED_TO_LEDGER
L-082,DEAL-078,PartnerB,UNMATCHED_TO_LEDGER
L-100,DEAL-096,PartnerD,RATE_MISMATCH
L-112,DEAL-108,PartnerA,RATE_MISMATCH
L-123,DEAL-119,PartnerC,RATE_MISMATCH
L-125,DEAL-121,PartnerB,DUPLICATE_LINE
L-126,DEAL-121,PartnerD,DUPLICATE_LINE
L-133,DEAL-128,PartnerD,DUPLICATE_LINE
L-134,DEAL-128,PartnerA,DUPLICATE_LINE
