store_id,sku,time_local,event,qty
ST-08,PC-1010,09:00,OPENING,1
ST-08,PC-1010,15:20,SALE,-1
ST-08,PC-1015,09:00,OPENING,3
ST-17,PC-1015,09:00,OPENING,6
ST-17,PC-1015,13:20,SALE,-1
ST-17,PC-1012,09:00,OPENING,2
ST-17,PC-1012,11:40,SALE,-1
ST-23,PC-1012,09:00,OPENING,4
ST-23,PC-5010,09:00,OPENING,4
ST-23,PC-1020,09:00,OPENING,2
ST-23,PC-1015,09:00,OPENING,2
ST-23,PC-1015,09:45,SALE,-1
ST-31,PC-1012,09:00,OPENING,4
ST-31,PC-1012,12:05,SALE,-1
ST-44,PC-2010,09:00,OPENING,5
ST-44,PC-3010,09:00,OPENING,7
ST-44,PC-1015,09:00,OPENING,2
ST-44,PC-1015,15:05,HOLD,-1
ST-44,PC-1008,09:00,OPENING,9
ST-44,PC-3006,09:00,OPENING,3
ST-44,PC-1012,09:00,OPENING,2
ST-44,PC-1012,10:15,SALE,-1
ST-44,PC-1012,14:40,SALE,-1
ST-52,PC-1012,09:00,OPENING,3
ST-52,PC-1012,11:10,SALE,-1
ST-52,PC-1012,13:55,SALE,-1
ST-52,PC-3008,09:00,OPENING,5
ST-52,PC-1010,09:00,OPENING,4
ST-52,PC-1010,10:30,TRANSFER_OUT,-2
ST-52,PC-1010,16:15,RECEIPT,3
